x,y
0.229506213,0.823131713
0.210182321,0.771072939
0.171067712,0.857589455
0.218243421,0.913648706
0.250728265,0.80730856
0.199409572,0.756581493
0.159035704,0.888181339
0.174349392,0.847392548
0.318002573,0.818681258
0.272901885,0.835452872
0.093714903,0.722735166
0.130320359,0.833438175
0.231656196,0.895192145
0.190330067,0.811200341
0.197150779,0.74570212
0.198347848,0.761432397
0.217529287,0.708485702
0.223058024,0.849392551
0.209496899,0.781022716
0.255348407,0.797863613
0.209165631,0.79202263
0.18605558,0.847487412
0.150475463,0.80921288
0.193373948,0.796728882
0.244393095,0.79273642
0.159955987,0.77762412
0.199799977,0.787980251
0.174515907,0.772621446
0.199301793,0.788564055
0.190648857,0.725380107
0.165482434,0.791909762
0.193389714,0.827463688
0.144019948,0.835205972
0.226542915,0.795568487
0.205061341,0.825994482
0.227250559,0.838742983
0.134092921,0.692395564
0.231705555,0.858871052
0.222080775,0.883833826
0.168088908,0.700906032
0.178037972,0.73965244
0.186597983,0.619470507
0.2264107,0.822138663
0.116110461,0.916310323
0.255001991,0.664169266
0.202833375,0.772406558
0.270014506,0.843409178
0.228681702,0.838580752
0.220897673,0.817321036
0.156109445,0.791714467
0.749386187,0.360956012
0.619184016,0.332256201
0.739744803,0.363455352
0.720626491,0.282909406
0.698911307,0.302865805
0.698347849,0.332589933
0.681541535,0.426827815
0.770885804,0.31903459
0.649062449,0.255805694
0.625977382,0.303398458
0.875727328,0.288780753
0.689557725,0.305491783
0.606781034,0.353704786
0.705772452,0.335699614
0.782594608,0.300006849
0.797145487,0.286169264
0.798099211,0.369514289
0.58989149,0.27281868
0.618167684,0.377000672
0.538301321,0.287172532
0.766498719,0.21280836
0.704330966,0.25461471
0.63984274,0.285964504
0.760259579,0.337334047
0.663136957,0.244353559
0.756815234,0.287065019
0.75629215,0.270111206
0.723790615,0.243284556
0.808868573,0.320222975
0.663974046,0.264946982
0.771943148,0.311152996
0.587791415,0.355353852
0.758068214,0.247042447
0.654428988,0.297479353
0.626497384,0.321343318
0.629744881,0.265113837
0.755780049,0.1721767
0.661525583,0.356857095
0.666036106,0.330421394
0.766696807,0.300909886
0.679246049,0.332016993
0.687607894,0.275390401
0.696706145,0.270449802
0.718817349,0.326843109
0.754010326,0.194082136
0.698913379,0.276832911
0.697731033,0.296100493
0.668167838,0.345077325
0.604742773,0.329146594
0.68326114,0.346384748
